"","x"
"burgess",4
"jone",4
"august",3
"otago",3
"reli",3
"solitari",3
"aspect",3
"attent",3
"counterattack",3
"formid",3
"greenidg",3
"inspir",3
"intact",3
"jordan",3
"necessari",3
"outfield",3
"pay",3
"prevent",3
"rectifi",3
"reduc",3
"retir",3
"adrian",3
"chop",3
"exil",3
"flourish",3
"hurt",3
"path",3
"script",3
"snorter",3
"alert",3
"contract",3
"dri",3
"eager",3
"issu",3
"leagu",3
"sedat",3
"sir",3
"sooner",3
"stadium",3
"thrash",3
"vivian",3
"ambros",3
"brush",3
"cameo",3
"convers",3
"dale",3
"hostil",3
"hype",3
"ian",3
"memori",3
"peril",3
"prod",3
"rekindl",3
"resolut",3
"steyn",3
"goal",3
"mayb",3
"multan",3
"shuffl",3
"sight",3
"stick",3
"bang",3
"driven",3
"flew",3
"inch",3
"jump",3
"north",3
"occupi",3
"onslaught",3
"slice",3
"smash",3
"soar",3
"attrit",3
"hung",3
"per",3
"seal",3
"uncharacterist",3
"valuabl",3
"wicketless",3
"fought",3
"shift",3
"ski",3
"suffici",3
"wors",3
"indian",3
"tame",3
"combat",3
"narrowli",3
"outplay",3
"presid",3
"scene",3
"veteran",3
"wednesday",3
"april",3
"decad",3
"faith",3
"inclus",3
"inconsist",3
"inexperienc",3
"midway",3
"younger",3
"benefit",3
"crunch",3
"fresh",3
"island",3
"practic",3
"cherish",3
"idea",3
"leader",3
"mantra",3
"night",3
"ride",3
"underst",3
"whoop",3
"charact",3
"fire",3
"hasten",3
"intens",3
"richardson",3
"write",3
"negoti",3
"benign",3
"consign",3
"stumbl",3
"wipe",3
"blame",3
"gain",3
"persist",3
"sweet",3
"delic",3
"misfield",3
"weari",3
"inabl",3
"qualiti",3
"ann",3
"brunt",3
"comparison",3
"dead",3
"drink",3
"glide",3
"london",3
"shelli",3
"sponsor",3
"upon",3
"women",3
"appli",3
"deposit",3
"famous",3
"friday",3
"friend",3
"independ",3
"surg",3
"hint",3
"perspect",3
"separ",3
"afraid",3
"deal",3
"neat",3
"wholeheart",3
"block",3
"resum",3
"anyway",3
"balloon",3
"mighti",3
"notch",3
"uncomfort",3
"justifi",3
"slide",3
"tini",3
